Level of familiarity with cybersecurity practices,Frequency of Password Changes,Difficulty Level,Effort Required,Perceived Importance,Frequency of MFA prompts,Difficulty Level MFA,Effort Required MFA,Perceived Importance of MFA,Frequency of Security Warnings,Difficulty Level Security Warnings,Effort Required Security Warnings,Perceived Importance of Security Warnings,"Which types of MFA do you encounter most often? (Select all that apply)_Authentication app (e.g., Google Authenticator, Microsoft Authenticator)","Which types of MFA do you encounter most often? (Select all that apply)_Biometric verification (fingerprint, facial recognition)",Which types of MFA do you encounter most often? (Select all that apply)_I do not use MFA,Which types of MFA do you encounter most often? (Select all that apply)_One-time passwords (OTP) via SMS or email,Which types of MFA do you encounter most often? (Select all that apply)_Security key or hardware token,Which types of security warnings do you encounter most often? (Select all that apply)_Antivirus/Malware Notifications,Which types of security warnings do you encounter most often? (Select all that apply)_I do not encounter any warnings/notifications,Which types of security warnings do you encounter most often? (Select all that apply)_Phishing Warnings,Which types of security warnings do you encounter most often? (Select all that apply)_System Update Alerts,Which types of security warnings do you encounter most often? (Select all that apply)_Unauthorized Access Attempts,Average Fatigue Score
1,3,4,4,5,3,1,1,5,2,3,4,4,1,0,0,0,1,1,0,1,0,1,6.75
1,2,3,2,4,4,3,2,3,5,4,1,5,0,1,0,0,1,0,1,0,0,0,6.25
2,1,2,4,2,2,1,2,2,3,4,1,2,1,1,0,0,0,0,1,0,0,0,6.0
0,5,3,2,4,2,4,2,2,2,2,4,5,0,0,1,0,0,1,0,0,1,0,6.233333333333333
2,2,1,4,2,5,2,3,4,3,1,1,1,0,0,1,0,0,0,0,1,1,1,7.25
0,2,4,2,1,4,4,5,5,2,3,4,2,0,0,0,1,1,1,0,0,1,0,14.666666666666666
1,2,2,4,3,4,3,2,2,5,3,5,3,1,0,0,0,1,1,0,0,1,0,17.63888888888889
1,2,1,4,5,1,2,3,5,5,3,3,4,1,1,0,0,1,1,0,1,0,1,5.854166666666667
0,5,5,2,3,3,2,3,4,1,3,4,5,1,0,0,1,1,0,0,1,1,1,7.855555555555555
0,4,3,4,5,3,3,2,5,1,2,1,3,1,0,0,1,0,1,0,0,1,0,4.622222222222222
0,1,3,3,4,1,3,3,1,1,3,4,4,1,0,0,1,0,0,0,1,1,1,4.75
0,3,4,3,1,3,1,1,1,2,2,1,3,1,0,0,1,1,1,0,0,0,1,13.444444444444445
1,2,2,5,5,1,1,3,2,2,5,4,1,1,1,0,0,0,0,0,1,1,0,18.958333333333332
0,1,4,1,3,4,4,1,1,1,5,2,4,0,0,1,0,0,1,0,1,0,0,6.611111111111111
1,4,3,5,3,4,3,1,3,1,3,4,1,0,0,1,0,0,1,0,1,1,0,15.0
1,3,4,1,4,5,3,1,1,3,3,5,2,0,0,1,0,0,1,0,1,0,0,16.875
0,4,1,4,4,5,3,3,4,3,3,4,4,1,0,0,1,1,1,0,1,0,0,8.083333333333334
0,4,4,1,4,2,4,4,2,5,3,5,4,1,1,0,1,0,0,0,1,1,1,12.916666666666666
2,2,2,1,3,5,4,5,5,2,2,5,3,1,0,0,0,1,1,0,0,0,1,14.0
2,3,5,3,3,4,2,5,3,5,3,4,4,1,0,0,1,1,0,0,1,1,1,21.666666666666668
0,1,1,4,3,4,1,5,4,4,5,3,5,1,0,0,1,0,1,0,0,1,1,6.111111111111111
2,1,4,2,3,3,1,2,4,1,5,3,1,1,0,0,1,0,0,0,1,0,1,9.583333333333334
0,4,4,4,1,3,3,1,5,2,2,4,1,0,1,0,1,0,1,0,1,0,1,27.266666666666666
1,2,5,3,2,5,3,2,4,3,5,3,2,1,0,0,1,0,0,0,1,0,1,18.75
1,4,2,4,1,3,4,4,3,5,4,3,1,0,1,0,1,1,0,0,0,1,1,45.0
1,4,2,3,2,2,2,1,1,3,3,5,1,1,1,0,1,0,1,0,0,1,1,25.416666666666668
1,5,5,1,3,2,4,5,2,1,3,2,2,1,1,0,0,1,1,0,1,0,1,13.055555555555557
1,1,1,2,5,1,2,1,1,5,2,2,4,1,1,0,1,0,1,0,0,1,0,3.0833333333333335
0,2,5,1,4,4,1,1,5,2,5,1,3,1,0,0,0,1,0,1,0,0,0,2.211111111111111
1,5,4,3,1,1,3,2,1,2,5,4,2,0,1,0,1,1,0,0,1,1,1,35.833333333333336
1,3,4,3,1,5,3,4,4,3,5,3,3,1,1,0,1,0,0,0,1,0,1,27.5
1,3,4,1,1,3,4,4,3,5,4,1,5,0,0,1,0,0,0,0,1,1,0,13.333333333333334
1,1,4,1,2,3,3,4,1,5,5,4,5,0,1,0,1,0,0,1,0,0,0,24.166666666666668
0,1,3,1,1,2,5,3,1,3,3,3,1,1,0,0,1,1,1,0,1,0,1,20.0
0,4,5,2,1,3,3,3,1,5,5,3,4,1,1,0,0,1,0,0,1,0,1,28.583333333333332
2,3,3,1,1,4,5,4,4,2,2,5,5,0,0,1,0,0,1,0,0,0,1,16.5
0,2,1,4,1,2,3,3,3,5,3,4,5,0,0,0,1,1,0,1,0,0,0,8.666666666666666
0,5,4,4,5,3,4,1,4,5,3,5,5,1,0,0,1,1,1,0,1,0,1,11.333333333333334
0,2,5,3,3,2,3,4,3,2,4,5,2,0,0,0,1,1,1,0,1,0,0,12.666666666666666
2,5,3,4,5,2,4,4,4,3,3,4,5,1,1,0,1,0,1,0,0,0,1,13.6
0,1,4,3,5,5,3,4,1,1,2,4,3,0,1,0,1,1,0,0,1,1,0,21.688888888888886
0,3,2,2,5,4,3,5,5,5,5,5,2,1,0,0,0,1,1,0,1,1,0,25.633333333333336
1,1,3,4,4,3,4,5,4,3,3,1,2,0,0,1,0,0,0,1,0,0,0,9.375
2,3,2,4,2,1,4,2,2,4,1,4,5,1,0,0,1,1,0,1,0,0,0,9.6
2,3,2,4,2,3,5,4,2,1,3,2,5,1,1,0,0,1,0,0,1,1,1,21.599999999999998
1,4,5,4,3,4,5,5,1,2,5,5,4,1,0,0,1,1,0,1,0,0,0,57.986111111111114
1,5,3,2,4,3,3,3,4,2,1,4,1,1,0,0,1,1,1,0,0,1,1,9.270833333333334
2,5,3,1,3,2,4,5,4,3,2,3,5,0,0,1,0,0,1,0,1,0,0,9.299999999999999
0,3,5,5,5,5,2,4,4,3,4,5,3,0,0,1,0,0,0,0,1,0,1,15.0
1,5,2,1,4,1,1,2,2,2,5,5,2,0,1,0,0,1,1,0,0,1,1,11.875
0,1,3,5,3,4,4,1,1,5,5,3,5,0,0,1,0,0,0,0,0,1,1,12.0
0,5,3,3,5,4,5,2,1,4,3,2,1,1,1,0,1,0,1,0,1,1,0,24.333333333333332
0,1,5,4,2,4,4,1,5,4,2,2,5,0,1,0,1,0,1,0,1,0,1,5.466666666666666
0,1,3,5,1,2,3,4,4,5,2,5,3,1,1,0,1,0,0,1,0,0,0,12.555555555555557
1,5,4,3,3,1,1,4,5,3,1,5,2,0,1,0,0,1,1,0,0,1,1,11.791666666666666
1,3,3,4,5,4,1,4,4,1,1,3,1,1,0,0,0,1,1,0,1,0,0,5.916666666666667
1,4,2,3,5,1,3,4,2,5,1,4,2,0,0,1,0,0,0,1,0,0,0,8.666666666666666
1,1,3,4,5,3,1,4,1,5,5,1,1,1,0,0,1,1,0,0,0,1,1,16.416666666666668
2,5,5,5,5,5,1,2,2,1,1,3,5,0,1,0,1,1,1,0,0,1,1,15.299999999999999
2,1,3,4,1,1,3,2,5,3,2,1,1,1,0,0,1,0,1,0,0,0,1,9.6
2,1,1,3,3,1,4,3,1,1,4,2,3,1,0,0,0,1,1,0,0,1,1,7.833333333333333
1,3,4,1,4,2,4,3,2,2,2,1,3,1,1,0,0,0,0,0,1,0,1,6.805555555555556
1,3,2,5,2,2,1,5,5,3,4,1,5,1,1,0,0,0,0,0,1,1,0,8.083333333333334
0,5,1,2,4,5,5,4,3,5,4,4,2,0,1,0,1,0,1,0,1,0,1,25.277777777777782
2,3,4,1,2,3,5,5,5,5,4,5,5,1,1,0,0,0,1,0,1,0,0,20.5
1,1,4,4,5,4,2,3,4,3,2,3,1,1,1,0,0,0,0,0,1,0,1,11.333333333333334
2,1,3,1,4,2,5,3,4,4,3,3,5,1,1,0,0,0,0,0,1,1,1,7.7250000000000005
2,5,5,1,3,1,5,3,1,2,1,5,4,1,1,0,0,1,1,0,0,1,1,12.916666666666666
0,5,3,3,3,2,4,3,5,1,2,1,2,1,0,0,1,0,1,0,1,0,0,6.933333333333334
0,4,4,2,5,2,5,1,5,5,1,3,4,1,0,0,0,1,1,0,0,1,0,4.05
0,2,1,4,5,1,4,1,4,3,3,5,4,0,0,0,1,1,0,0,1,0,1,4.616666666666666
0,5,5,1,1,4,1,4,3,2,2,2,1,1,0,0,1,0,1,0,1,0,0,12.777777777777777
1,3,1,1,5,1,4,4,5,2,3,1,3,0,0,1,0,0,1,0,1,1,0,2.4166666666666665
0,1,2,5,5,2,2,5,4,2,2,2,1,1,1,0,1,0,0,1,0,0,0,5.0
1,4,1,5,2,3,1,4,2,1,1,2,3,0,1,0,0,1,0,1,0,0,0,6.944444444444444
0,5,5,3,4,5,4,1,2,5,2,4,1,0,1,0,1,0,1,0,1,0,1,22.916666666666668
1,3,4,4,4,4,3,5,5,4,4,5,4,0,0,1,0,0,0,0,1,1,1,18.333333333333332
0,1,5,5,3,4,4,4,2,2,5,3,4,0,0,1,0,0,1,0,1,0,1,15.944444444444445
0,3,1,3,1,4,4,4,4,1,4,3,1,1,0,0,0,1,1,0,1,0,1,12.333333333333334
1,1,1,3,1,2,3,5,1,5,5,3,3,1,1,0,1,0,0,0,1,1,0,24.166666666666668
1,5,4,1,2,2,5,4,2,3,2,5,2,0,1,0,1,1,1,0,1,1,0,18.75
1,5,5,3,2,5,2,2,2,1,1,3,2,1,0,0,1,0,0,0,1,1,1,20.416666666666668
1,1,5,5,5,2,1,5,1,5,5,5,4,0,1,0,0,1,0,0,1,1,0,19.270833333333332
0,5,3,5,5,4,1,3,2,4,4,4,1,1,1,0,1,0,1,0,1,0,0,28.333333333333332
2,3,3,5,2,4,3,4,4,2,2,3,3,1,0,0,1,0,0,0,1,0,1,19.25
2,1,5,5,2,4,1,2,1,5,2,3,3,0,0,0,1,1,0,0,0,1,1,15.25
1,1,5,2,4,3,5,3,5,5,2,2,5,1,1,0,0,1,0,0,0,1,1,6.458333333333333
0,2,4,3,2,3,5,5,4,1,2,3,1,0,1,0,1,1,1,0,1,0,0,12.25
1,4,4,3,4,5,3,4,3,3,3,4,1,0,0,1,0,0,0,1,0,0,0,28.333333333333332
2,1,5,3,1,4,1,4,1,4,1,3,1,1,1,0,1,0,0,0,1,1,1,21.5
0,5,1,3,2,3,3,3,3,2,5,2,2,0,0,1,0,0,0,0,1,1,1,8.833333333333334
0,1,1,2,5,2,3,1,4,1,4,4,2,0,0,0,1,1,1,0,0,1,0,3.3000000000000003
1,5,4,3,2,2,4,2,1,2,3,1,1,1,1,0,0,0,0,0,0,1,1,21.666666666666668
1,5,5,5,1,5,3,2,3,2,1,2,2,1,0,0,0,1,0,1,0,0,0,57.083333333333336
0,3,5,3,2,3,2,5,2,4,4,5,5,0,1,0,1,1,1,0,1,1,0,17.833333333333332
1,2,3,4,5,5,2,5,4,3,4,5,1,0,1,0,1,1,0,1,0,0,0,32.208333333333336
2,5,3,2,1,1,3,5,3,4,4,4,3,0,0,1,0,0,1,0,0,1,1,28.166666666666668
2,3,1,3,1,1,5,2,3,4,5,2,5,1,0,0,0,1,0,0,1,1,1,10.166666666666666
1,2,3,4,4,1,2,2,1,3,3,1,3,1,0,0,0,1,0,1,0,0,0,5.416666666666667
0,3,1,2,1,5,4,3,2,5,5,5,1,0,0,1,0,0,0,0,1,1,0,53.666666666666664
1,3,3,3,4,4,4,1,3,1,1,2,1,1,0,0,1,1,1,0,1,0,0,5.8680555555555545
0,5,1,3,2,3,5,5,1,1,2,2,3,1,0,0,1,1,0,0,1,1,0,27.944444444444443
1,5,2,5,4,4,1,5,4,5,4,3,4,0,1,0,0,1,1,0,1,0,0,13.541666666666666
0,5,2,5,4,3,2,3,2,5,1,3,4,0,0,1,0,0,0,1,0,0,0,8.416666666666666
1,1,3,1,1,2,5,5,5,4,3,4,1,0,1,0,1,1,1,0,1,1,0,25.416666666666668
0,3,2,5,4,5,5,2,1,2,1,1,3,1,0,0,1,1,1,0,0,1,0,19.38888888888889
1,2,3,2,3,4,2,4,2,4,1,2,3,1,1,0,0,0,1,0,1,0,1,9.444444444444445
1,2,1,5,3,1,5,5,5,3,3,5,2,1,1,0,1,0,1,0,1,0,1,12.847222222222223
1,2,1,1,1,5,3,4,4,4,5,3,2,0,1,0,1,0,0,1,0,0,0,19.583333333333332
0,3,2,4,3,4,1,5,5,5,4,2,2,0,1,0,1,0,1,0,0,1,1,10.666666666666666
0,5,4,3,2,4,1,1,4,2,5,2,3,0,1,0,0,1,1,0,1,0,0,12.555555555555555
1,4,3,3,2,4,2,1,3,2,4,2,3,0,1,0,1,1,1,0,0,1,0,10.833333333333334
0,3,5,5,1,5,3,3,5,4,2,1,2,0,0,1,0,0,0,1,0,0,0,29.333333333333332
0,2,4,1,2,5,2,5,4,4,1,5,5,1,1,0,0,0,1,0,1,0,1,6.833333333333333
1,3,1,1,4,5,4,2,3,3,4,2,1,1,1,0,1,0,0,0,1,1,0,15.868055555555557
2,5,1,5,4,3,4,4,3,3,2,4,3,1,0,0,1,1,1,0,0,1,1,15.125
0,3,2,2,2,4,5,4,3,3,5,1,5,1,1,0,0,1,0,0,1,1,0,11.888888888888891
0,5,5,5,4,4,5,4,3,5,1,4,2,0,1,0,1,1,1,0,0,1,1,22.63888888888889
1,5,1,4,3,5,2,2,1,3,5,5,4,0,0,1,0,0,0,1,0,0,0,18.92361111111111
0,5,3,1,3,2,3,3,2,3,2,2,3,0,1,0,0,1,1,0,1,0,1,6.0
1,5,4,5,3,3,4,5,3,3,3,4,3,1,0,0,1,1,1,0,1,0,0,27.222222222222225
0,2,5,5,3,4,2,1,2,5,4,2,1,0,0,1,0,0,0,1,0,0,0,20.222222222222225
0,2,4,5,4,4,2,5,4,3,4,3,1,1,1,0,0,0,0,0,1,1,1,18.666666666666668
1,4,1,5,2,3,4,1,4,4,1,2,5,0,1,0,0,1,0,0,1,0,1,6.083333333333333
1,2,1,1,3,2,3,1,2,5,1,3,3,1,0,0,1,1,1,0,0,0,1,3.6111111111111107
0,4,1,2,2,4,3,1,1,1,4,4,5,0,0,1,0,0,0,1,0,0,0,6.3999999999999995
0,5,5,2,2,5,4,1,4,1,4,2,5,0,0,1,0,0,1,0,1,0,1,10.533333333333333
1,1,2,3,3,1,5,2,1,2,5,2,4,1,1,0,0,1,1,0,0,1,1,7.083333333333333
0,2,5,3,4,5,3,2,5,1,3,5,2,1,0,0,0,1,1,0,0,1,1,7.0
2,5,3,2,5,1,3,5,2,4,2,5,5,0,1,0,1,1,0,1,0,0,0,10.75
1,5,1,2,3,1,5,1,5,3,1,1,1,1,1,0,0,1,0,0,0,1,1,3.055555555555556
0,5,5,1,3,2,4,4,2,1,1,2,2,1,1,0,1,0,1,0,1,1,0,8.444444444444445
2,4,3,1,1,4,5,4,5,1,1,3,1,0,0,1,0,0,1,0,1,0,0,15.5
0,3,5,2,1,1,5,3,5,1,3,2,3,0,0,1,0,0,1,0,1,1,0,11.666666666666666
0,1,1,2,1,5,5,3,2,2,4,2,5,1,1,0,0,1,1,0,1,1,0,14.233333333333334
0,1,4,3,3,2,1,1,5,4,1,4,3,0,1,0,1,0,1,0,0,1,0,3.244444444444445
2,1,1,1,5,5,5,3,2,3,5,1,4,0,1,0,1,1,1,0,0,1,1,20.724999999999998
2,1,2,1,5,3,5,2,4,3,5,4,4,0,1,0,1,0,1,0,0,1,0,11.450000000000001
1,4,2,2,2,3,2,5,3,5,1,2,2,1,1,0,0,1,0,0,1,1,0,9.583333333333334
0,4,1,3,3,5,3,4,4,2,1,5,5,0,0,1,0,0,1,0,1,0,1,7.0
2,3,1,3,2,5,5,4,3,4,5,3,1,1,1,0,1,0,1,0,1,0,0,48.916666666666664
0,4,1,4,3,2,2,4,2,4,2,2,5,1,0,0,0,1,0,0,0,1,1,5.51111111111111
2,5,1,5,2,3,5,3,2,4,2,5,3,1,0,0,0,1,0,0,1,1,0,24.166666666666668
0,5,2,5,2,3,1,1,2,4,4,1,2,0,0,1,0,0,1,0,1,0,1,11.5
1,3,1,2,3,2,5,4,3,4,1,2,3,0,0,0,1,1,0,1,0,0,0,7.5
1,1,4,5,1,1,2,2,5,1,4,1,1,1,1,0,0,1,0,0,1,1,0,10.333333333333334
2,5,5,3,2,3,2,2,3,1,4,2,1,0,1,0,0,1,0,0,1,1,1,24.75
2,5,1,3,2,1,5,5,5,3,1,3,1,1,0,0,0,1,0,0,1,1,1,10.75
1,4,5,5,3,2,1,2,3,2,2,1,1,0,1,0,0,1,0,0,1,1,1,16.11111111111111
0,5,1,2,2,3,5,3,5,4,2,3,3,1,1,0,0,1,1,0,1,0,0,7.333333333333333
0,4,1,1,3,3,2,4,4,5,5,4,4,0,1,0,1,1,1,0,1,1,0,10.777777777777779
0,3,1,3,4,5,2,1,2,4,1,2,4,0,0,1,0,0,1,0,0,1,0,3.0833333333333335
1,4,1,5,2,2,3,1,1,3,5,2,2,1,0,0,1,1,1,0,1,0,1,12.916666666666666
2,1,3,1,2,3,3,2,4,1,1,5,1,1,0,0,1,1,1,0,1,0,1,5.5
0,4,1,5,5,5,5,3,3,3,4,2,2,0,0,1,0,0,0,1,0,0,0,13.666666666666666
0,4,3,4,1,5,3,4,2,1,4,3,3,1,0,0,0,1,1,0,1,1,0,27.333333333333332
0,5,3,1,2,2,5,5,5,3,4,4,3,0,0,1,0,0,1,0,0,1,1,11.166666666666666
1,4,4,1,1,3,2,3,5,2,3,2,3,1,1,0,0,0,0,0,1,1,1,9.833333333333334
1,5,4,4,5,1,4,1,3,4,3,4,4,0,0,0,1,1,1,0,0,1,1,12.222222222222223
0,5,2,3,2,1,4,3,2,4,2,2,2,1,1,0,1,0,0,0,1,1,1,9.666666666666666
1,2,3,1,4,2,1,3,3,4,3,4,2,0,0,1,0,0,0,0,1,1,1,11.458333333333334
0,4,2,3,5,1,3,2,4,3,3,5,3,0,0,1,0,0,0,0,1,1,0,7.1000000000000005
2,5,1,1,3,4,2,3,4,3,5,4,1,0,1,0,1,0,0,0,0,1,1,33.833333333333336
1,4,3,3,2,4,3,5,1,2,1,1,5,1,0,0,1,0,0,1,0,0,0,32.666666666666664
2,3,3,4,3,2,5,1,2,3,1,4,4,0,1,0,1,0,1,0,0,1,0,10.0
0,5,5,3,3,4,1,1,5,4,3,3,3,1,0,0,1,1,1,0,1,1,0,12.6
0,2,1,4,5,3,2,3,4,4,5,2,3,1,1,0,1,0,0,1,0,0,0,6.477777777777778
0,5,1,2,3,4,4,1,3,1,5,1,5,1,1,0,0,1,0,1,0,0,0,3.222222222222222
0,1,4,5,2,4,4,2,4,2,3,4,4,0,1,0,1,1,1,0,1,0,1,8.0
1,5,1,4,1,2,4,5,2,1,5,1,3,1,1,0,0,1,1,0,1,0,1,17.36111111111111
1,3,4,5,3,1,5,2,5,1,4,2,3,1,1,0,1,0,0,1,0,0,0,10.277777777777777
1,3,3,2,1,2,1,3,2,3,4,5,5,1,1,0,0,0,1,0,0,1,1,13.75
2,1,5,3,5,2,2,2,5,2,4,1,3,0,0,0,1,1,0,0,1,0,1,3.6333333333333333
1,4,4,2,5,4,4,2,2,3,5,2,3,0,0,1,0,0,0,0,1,0,1,13.5
0,1,3,4,3,5,2,1,5,3,1,4,1,1,1,0,1,0,1,0,0,1,0,6.0
2,4,1,1,5,3,3,5,2,1,1,4,3,0,0,0,1,1,0,0,1,0,1,12.316666666666668
2,3,4,1,3,3,5,2,5,4,3,4,1,1,1,0,1,0,1,0,0,1,1,29.0
1,3,4,5,3,1,3,2,5,1,3,5,2,0,0,1,0,0,0,0,1,1,0,11.958333333333334
1,3,3,5,1,4,5,2,1,2,2,1,2,0,0,1,0,0,0,0,1,0,1,36.25
1,5,4,1,4,1,3,3,3,2,5,4,3,1,1,0,0,0,1,0,1,0,0,8.88888888888889
1,3,5,2,2,3,5,2,3,1,2,1,2,1,0,0,0,1,0,1,0,0,0,10.833333333333334
2,1,3,3,2,1,2,3,3,2,4,4,5,1,1,0,0,1,1,0,1,0,0,6.45
2,4,4,3,1,5,5,5,1,3,4,1,4,0,0,1,0,0,0,0,1,1,1,88.0
1,4,5,3,5,4,3,1,1,1,5,5,2,0,1,0,1,1,1,0,0,1,1,15.208333333333334
0,2,5,4,5,2,4,4,4,4,2,1,1,0,1,0,1,1,0,0,1,0,1,8.0
0,2,3,2,5,1,5,2,3,3,3,3,4,1,0,0,1,0,0,0,1,1,1,4.161111111111111
2,1,5,2,3,2,4,4,5,4,2,3,3,0,0,1,0,0,0,0,0,1,1,8.866666666666667
2,5,1,3,2,1,1,5,2,3,3,4,3,1,1,0,1,0,0,1,0,0,0,11.0
2,2,3,1,2,1,5,5,3,1,2,1,4,1,0,0,0,1,0,0,1,1,0,5.916666666666667
2,1,2,4,2,4,4,1,5,1,1,5,4,1,0,0,1,1,1,0,1,0,0,4.2250000000000005
2,5,1,4,2,1,2,2,3,5,3,2,4,1,1,0,1,0,1,0,0,1,0,9.416666666666666
0,1,5,5,4,4,2,1,4,2,5,5,3,1,1,0,0,0,1,0,1,0,1,8.305555555555555
1,3,3,4,5,2,5,5,2,1,3,3,5,1,0,0,0,1,1,0,1,0,1,14.166666666666666
2,2,3,1,5,1,3,4,4,1,5,4,4,0,0,0,1,1,0,0,1,0,1,4.6000000000000005
2,2,2,4,1,5,3,3,4,2,1,2,3,0,1,0,1,0,1,0,0,0,1,14.291666666666666
2,5,1,1,2,1,2,2,2,3,3,5,5,1,0,0,0,1,1,0,0,0,1,6.75
2,3,4,3,3,2,1,1,2,2,3,3,2,0,0,1,0,0,0,0,1,1,1,11.0
2,1,5,5,2,3,4,2,1,4,4,3,3,0,1,0,1,1,1,0,0,0,1,26.25
0,2,2,2,4,2,3,5,4,5,5,5,4,1,1,0,1,0,1,0,0,1,0,13.583333333333334
0,4,5,4,1,4,4,3,3,5,1,5,1,0,0,1,0,0,1,0,1,0,0,40.333333333333336
